policy_number,customer_id,first_name,last_name,ssn,email,phone,address,city,state,zip,policy_type,effective_date,expiration_date,annual_premium,payment_frequency,renewal_flag,policy_status,marital_status,agent_id,agency_name,agency_region
PN000065,CIN1065,Aarav,Iyer,,aarav.iyer@example.com,N/A,  782 JM Road  ,  Lucknow  ,UP,56A012,HOME,2024/11/23,2025-08-20,"278,268.00",QUARTERLY,n,Lapsed,Single,A101,Sun Valley Insurance,Mid-Atl
PN000066,CIN1066,Anika,Reddy,366764264, anika.reddy@EXAMPLE.COM ,+91 71378 36194,193 MG Road,Pune,Maharashtra,     ,HOME,2024-02-06,2024/08/04,"240,037.00",ANNUAL,n,Lapsed,Separated,A101,Sun Valley Insurance,Mid-Atl
PN000067,CIN1067,Ananya,Gupta,689-32-4503, ,+91 72914 73176,601 MG Road,  Lucknow  ,  UP  ,  226010  ,RENTERS,2023/01/31,2023/07/30,"109,972.00",ANNUAL,n,Lapsed,Separated,A201,Empire Coverage,NY
PN000068,CIN1068,Krishna,Reddy,479-27-8995, ,01223-410140,996 Sector 62,Mumbai,Maharashtra,400-001,HOME,2023-07-20,2024/01/16,"108,475.00",ANNUAL,N,Lapsed,Widowed,A001,North Shore Agency,NE
PN000069,CIN1069,Sara,Patil,900519794, ,08723-178236,653 Lodhi Rd,Pune,  Maharashtra  ,56A012,HOME,2024/12/13,2025-12-13,"194,188.00",QUARTERLY,n,Active,Separated,A101,Sun Valley Insurance,Mid-Atl
PN000070,CIN1070,Ananya,Nair,, ananya.nair@EXAMPLE.COM ,+91 84074 12577,921 JM Road,New Delhi,  Delhi  ,110003,RENTERS,2023-03-02,2023/08/29,"19,744.00",Monthly,y,Lapsed,Divorced,A004,Downtown Assurance,NE
PN000071,CIN1071,Sai,Iyer,,sai.iyerexample.com,N/A,  535 JM Road  ,New Delhi,  Delhi  , ,AUTO,2024/06/19,2024-12-16,"223,468.00",ANNUAL,n,Lapsed,Divorced,A002,Metro Mutual Partners,NE
PN000072,CIN1072,Ananya,Gupta,,ananya.guptaexample.com,+91 89551 80789,814 Lodhi Rd,  Pune  ,Maharashtra,411-001,HOME,2023/10/18,2024-07-14,"-111,759.00",Monthly,N,Lapsed,Widowed,A001,North Shore Agency,NE
PN000073,CIN1073,Ananya,Reddy,515243381,ananya.reddyexample.com,N/A,54 Lodhi Rd,Pune,Maharashtra,  0211O  ,RENTERS,2025/01/21,2025/07/20,"5,019.00",ANNUAL,n,Lapsed,Married,A002,Metro Mutual Partners,NE
PN000074,CIN1074,Ishita,Gupta,396982679,ishita.guptaexample.com,05514-819004,  163 Sector 62  ,Noida,  UP  ,  56A012  ,AUTO,2023/10/29,2024-04-26,"208,476.00",Monthly,n,Cancelled,Divorced,A201,Empire Coverage,NY
PN000075,CIN1075,Arjun,Mukherjee,938301479, ,+91 71217 89014,576 MG Road,Bengaluru,Karnataka,  0211O  ,HOME,2024/06/21,2025/06/21,"199,151.00",Monthly,y,Lapsed,Widowed,A004,Downtown Assurance,NE
PN000076,CIN1076,Sara,Patil,228347373, ,,517 JM Road,  Hyderabad  ,Telangana,56A012,HOME,2024-11-12,2025-05-11,"53,834.00",Monthly,N,Active,Married,A004,Downtown Assurance,NE
PN000077,CIN1077,Krishna,Patil,,krishna.patilexample.com,+91 99599 16852,703 Park Street,Chennai,  Tamil Nadu  ,600001,AUTO,2023-01-15,2023/10/12,"54,925.00",ANNUAL,n,Cancelled,Divorced,A003,Bay State Brokers,NE
PN000078,CIN1078,Reyansh,Verma,, ,,  430 Sector 62  ,Hyderabad,  Telangana  ,  500001  ,RENTERS,2023/12/26,2024/06/23,"92,898.00",Monthly,n,Active,Separated,A004,Downtown Assurance,NE
PN000079,CIN1079,Ishita,Mukherjee,659-82-2628,ishita.mukherjeeexample.com,,75 Sector 62,  Chennai  ,Tamil Nadu,     ,HOME,2024-08-30,2025-08-30,"234,764.00",Monthly,Y,Lapsed,Widowed,A002,Metro Mutual Partners,NE
PN000080,CIN1080,Ishita,Mehta,986-42-5870,ishita.mehta@example.com,,994 MG Road,Lucknow,UP,  226-010  ,RENTERS,2023/11/07,2024/05/05,,Monthly,n,Active,Married,A004,Downtown Assurance,NE
PN000081,CIN1081,Ananya,Sharma,, ,,  710 JM Road  ,Noida,UP,201-301,RENTERS,2023/04/19,2024/01/14,"138,218.00",ANNUAL,y,Active,Divorced,A002,Metro Mutual Partners,NE
PN000082,CIN1082,Ananya,Verma,657346551,ananya.verma@example.com,+91 94622 67076,  433 MG Road  ,  Jaipur  ,  Rajasthan  ,56A012,HOME,2023/10/05,2024/04/02,"251,660.00",ANNUAL,Y,Lapsed,Single,A002,Metro Mutual Partners,NE
PN000083,CIN1083,Sanvi,Reddy,113-74-2637,sanvi.reddy@example.com,N/A,463 Lodhi Rd,Hyderabad,Telangana,  0211O  ,AUTO,2024-06-02,2025/06/02,"261,273.00",QUARTERLY,n,Cancelled,Married,A001,North Shore Agency,NE
PN000084,CIN1084,Ayaan,Khan,419-35-4094,ayaan.khan@example.com,+91 99541 31147,960 MG Road,New Delhi,Delhi,110-003,RENTERS,2024-02-15,2024/08/13,"171,682.00",QUARTERLY,N,Cancelled,Married,A101,Sun Valley Insurance,Mid-Atl
PN000085,CIN1085,Arjun,Khan,535-55-3202,arjun.khan@example.com,07272-790808,  689 MG Road  ,  Bengaluru  ,Karnataka, ,AUTO,2023-04-02,2023-12-28,"72,406.00",QUARTERLY,N,Active,Widowed,A002,Metro Mutual Partners,NE
PN000086,CIN1086,Anika,Khan,408-30-3005,anika.khanexample.com,+91 80397 71936,  989 MG Road  ,Mumbai,Maharashtra,400-001,HOME,2023/06/23,2024/06/22,"236,959.00",QUARTERLY,n,Active,Widowed,A201,Empire Coverage,NY
PN000087,CIN1087,Ananya,Patil,664916359,ananya.patil@example.com,07707-583453,  371 Park Street  ,Bengaluru,Karnataka,560001,RENTERS,2023-05-01,2024-04-30,"53,660.00",Monthly,y,Lapsed,Divorced,A003,Bay State Brokers,NE
PN000088,CIN1088,Anika,Gupta,,anika.gupta@example.com,+91 97936 92886,501 MG Road,  Mumbai  ,  Maharashtra  ,     ,RENTERS,2024-06-17,2024/12/14,"-67,629.00",ANNUAL,y,Cancelled,Widowed,A001,North Shore Agency,NE
PN000089,CIN1089,Sara,Sharma,353925825, sara.sharma@EXAMPLE.COM ,+91 75072 10291,347 MG Road,Lucknow,  Uttar Pradesh  ,  226-010  ,HOME,2023/03/08,2024-03-07,"-238,848.00",Monthly,y,Lapsed,Married,A201,Empire Coverage,NY
PN000090,CIN1090,Vivaan,Sharma,834922860,vivaan.sharmaexample.com,+91 86289 89281,21 JM Road,Mumbai,  Maharashtra  ,  0211O  ,HOME,2024-03-28,2024/12/23,"167,924.00",Monthly,Y,Lapsed,Divorced,A002,Metro Mutual Partners,NE
PN000091,CIN1091,Myra,Patil,,myra.patil@example.com,06405-763296,94 Park Street,Mumbai,Maharashtra,  400001  ,HOME,2024-02-30,2025/02/07,"199,849.00",Monthly,n,Cancelled,Widowed,A003,Bay State Brokers,NE
PN000092,CIN1092,Vihaan,Reddy,939726303,vihaan.reddy@example.com,01527-964209,  434 Lodhi Rd  ,  Jaipur  ,Rajasthan,     ,AUTO,2023-09-07,2024/03/05,,Monthly,n,Active,Widowed,A003,Bay State Brokers,NE
PN000093,CIN1093,Ayaan,Sharma,292441583, ayaan.sharma@EXAMPLE.COM ,+91 73283 31708,305 Park Street,  Lucknow  ,Uttar Pradesh, ,AUTO,2024-06-09,2024/12/06,"199,455.00",Monthly,y,Lapsed,Married,A201,Empire Coverage,NY
PN000094,CIN1094,Ishita,Nair,877-24-7668, ishita.nair@EXAMPLE.COM ,+91 93195 28951,131 MG Road,  Lucknow  ,  UP  ,0211O,RENTERS,2023-08-02,2024/01/29,"206,447.00",Monthly,N,Active,Separated,A004,Downtown Assurance,NE
PN000095,CIN1095,Sara,Khan,802-36-5153,sara.khanexample.com,+91 86109 29875,  293 Park Street  ,Pune,  Maharashtra  ,  0211O  ,AUTO,2024-05-23,2025-02-17,"138,550.00",QUARTERLY,y,Lapsed,Widowed,A003,Bay State Brokers,NE
PN000096,CIN1096,Ananya,Iyer,835-33-3302,ananya.iyer@example.com,+91 90145 54640,946 Park Street,Kolkata,  West Bengal  ,700-016,HOME,2024/09/11,2025/06/08,"74,798.00",ANNUAL,Y,Lapsed,Divorced,A201,Empire Coverage,NY
PN000097,CIN1097,Ishita,Verma,823837259, ishita.verma@EXAMPLE.COM ,+91 95283 94007,851 Park Street,New Delhi,Delhi,56A012,RENTERS,2024/12/14,2025/12/14,"219,734.00",ANNUAL,n,Active,Separated,A201,Empire Coverage,NY
PN000098,CIN1098,Sai,Khan,,sai.khanexample.com,,742 Sector 62,Pune,Maharashtra,  411001  ,HOME,2023-11-04,2024-11-03,"62,624.00",Monthly,n,Lapsed,Widowed,A003,Bay State Brokers,NE
PN000099,CIN1099,Arjun,Mukherjee,374-19-8834, arjun.mukherjee@EXAMPLE.COM ,+91 92674 29409,  694 JM Road  ,  Pune  ,  Maharashtra  ,411-001,AUTO,2024-07-18,2025-07-18,"297,490.00",ANNUAL,Y,Lapsed,Single,A003,Bay State Brokers,NE
PN000100,CIN1100,Navya,Gupta,495-44-7514, navya.gupta@EXAMPLE.COM ,N/A,  956 JM Road  ,  Noida  ,  UP  ,  56A012  ,AUTO,2024/01/31,2024/07/29,"45,331.00",Monthly,Y,Lapsed,Divorced,A003,Bay State Brokers,NE
PN000101,CIN1101,Ananya,Nair,177253176,ananya.nair@example.com,,825 MG Road,Jaipur,Rajasthan, ,HOME,2023-10-16,2024/04/13,"27,103.00",ANNUAL,n,Cancelled,Divorced,A001,North Shore Agency,NE
PN000102,CIN1102,Ishita,Nair,187-86-9010,ishita.nair@example.com,N/A,599 MG Road,Lucknow,UP,56A012,HOME,2023-08-22,2024/02/18,"205,745.00",ANNUAL,y,Cancelled,Single,A002,Metro Mutual Partners,NE
PN000103,CIN1103,Arjun,Reddy,515-93-9809,arjun.reddy@example.com,+91 96822 43848,205 JM Road,  Pune  ,Maharashtra,411001,HOME,2023/04/28,2023-10-25,"142,607.00",QUARTERLY,Y,Active,Married,A004,Downtown Assurance,NE
PN000104,CIN1104,Vivaan,Mukherjee,185-84-3397,vivaan.mukherjeeexample.com,,273 MG Road,  Jaipur  ,Rajasthan,  56A012  ,HOME,2024/09/23,2025-03-22,"20,219.00",Monthly,y,Active,Widowed,A001,North Shore Agency,NE
PN000105,CIN1105,Sanvi,Khan,,sanvi.khan@example.com,N/A,235 JM Road,Bengaluru,  Karnataka  ,0211O,RENTERS,2025/02/19,2025-08-18,"104,780.00",QUARTERLY,y,Active,Widowed,A002,Metro Mutual Partners,NE
PN000106,CIN1106,Ayaan,Iyer,467-89-3766,ayaan.iyer@example.com,,292 MG Road,New Delhi,Delhi,  110003  ,HOME,2023-11-27,2024/08/23,"145,474.00",ANNUAL,N,Cancelled,Married,A101,Sun Valley Insurance,Mid-Atl
